Episode,Start,End,CAGR%,Sharpe,MaxDD%,Calmar,TurnoverAnn,AvgExposure%,TimeInMkt%
GFC_2008,2008-01-01,2009-06-30,-35.18,-1.683,-53.24,-0.661,58.52,51.4,51.4
EURO_2011,2011-07-01,2011-12-31,-35.49,-1.264,-26.48,-1.34,119.64,77.1,77.1
Q4_2018,2018-10-01,2018-12-31,-55.95,-2.65,-21.06,-2.657,138.75,77.3,77.3
COVID_2020,2020-02-15,2020-06-30,-60.47,-1.826,-39.73,-1.522,138.44,77.3,77.3
RATES_2022,2022-01-01,2022-12-31,-32.23,-1.098,-39.18,-0.823,77.07,92.7,92.7
