Episode,Start,End,CAGR%,Sharpe,MaxDD%,Calmar,TurnoverAnn,AvgExposure%,TimeInMkt%
GFC_2008,2008-01-01,2009-06-30,-41.27,-1.871,-61.17,-0.675,56.38,64.2,64.2
EURO_2011,2011-07-01,2011-12-31,-37.24,-1.206,-31.07,-1.199,84.9,84.0,84.0
Q4_2018,2018-10-01,2018-12-31,-30.09,-1.335,-16.11,-1.867,137.92,80.3,80.3
COVID_2020,2020-02-15,2020-06-30,-51.68,-0.752,-48.52,-1.065,109.45,63.9,63.9
RATES_2022,2022-01-01,2022-12-31,-9.12,-0.326,-25.93,-0.352,71.65,84.2,84.2
