Episode,Start,End,CAGR%,Sharpe,MaxDD%,Calmar,TurnoverAnn,AvgExposure%,TimeInMkt%
GFC_2008,2008-01-01,2009-06-30,-0.58,0.164,-41.02,-0.014,39.47,82.9,82.9
EURO_2011,2011-07-01,2011-12-31,-28.86,-1.003,-24.36,-1.184,74.3,88.5,88.5
Q4_2018,2018-10-01,2018-12-31,-62.35,-2.291,-28.23,-2.209,115.24,77.3,77.3
COVID_2020,2020-02-15,2020-06-30,-62.59,-1.676,-46.43,-1.348,81.77,83.5,83.5
RATES_2022,2022-01-01,2022-12-31,-49.8,-1.581,-60.22,-0.827,57.5,75.8,75.8
