Episode,Start,End,CAGR%,Sharpe,MaxDD%,Calmar,TurnoverAnn,AvgExposure%,TimeInMkt%
GFC_2008,2008-01-01,2009-06-30,-20.14,-0.863,-42.34,-0.476,41.44,63.9,63.9
EURO_2011,2011-07-01,2011-12-31,-15.64,-0.482,-21.85,-0.716,70.45,87.0,87.0
Q4_2018,2018-10-01,2018-12-31,-56.26,-3.869,-20.39,-2.759,126.42,80.3,80.3
COVID_2020,2020-02-15,2020-06-30,-56.12,-1.654,-37.88,-1.481,101.58,81.4,81.4
RATES_2022,2022-01-01,2022-12-31,-12.55,-0.461,-39.62,-0.317,62.18,96.2,96.2
