id,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop,World Share
71,Netherlands,18346819,0.010,118077,544,33720,104681,1.44,41.5,0.89,0
72,Ecuador,18289896,0.010,154418,74,248360,"−17,219",1.79,29.3,0.66,0
73,Cambodia,17847982,0.010,209181,101,176520,"−31,469",2.51,26.2,0.27,0
74,Zimbabwe,16950795,0.020,316422,44,386850,"−54,555",3.62,18.1,0.38,0
75,Guinea,15099727,0.020,344942,61,245720,"−16,282",4.04,18.3,0.4,0
76,Benin,14814460,0.020,351736,131,112760,"−7,847",4.42,18,0.48,0
77,Rwanda,14569341,0.020,312774,591,24670,6282,3.59,19.9,0.18,0
78,Burundi,14390003,0.020,342217,560,25680,"−34,727",4.67,16.4,0.15,0
79,Bolivia,12581843,0.010,168528,12,1083300,"−3,179",2.5,25.2,0.71,0
80,Tunisia,12348573,0.010,71464,79,155360,"−14,523",1.8,32.9,0.72,0
81,South Sudan,12188788,0.020,245380,20,610952,6145,3.71,18.7,0.28,0
82,Haiti,11906095,0.010,133538,432,27560,"−32,052",2.59,24.1,0.62,0
83,Belgium,11758603,0.000,19840,388,30280,31989,1.39,41.9,0.99,0
84,Jordan,11520684,-0.003,"−32,192",130,88780,"−303,267",2.57,24.7,0.85,0
85,Dominican Republic,11520487,0.010,92930,238,48320,"−35,306",2.19,28.3,0.86,0
86,United Arab Emirates,11346000,0.030,318871,136,83600,158634,1.21,31.6,0.81,0
87,Honduras,11005850,0.020,180147,98,111890,"−4,778",2.45,24.2,0.58,0
88,Cuba,10937203,-0.004,"−42,580",103,106440,"−22,244",1.45,42.2,0.82,0
89,Tajikistan,10786734,0.020,195807,77,139960,"−21,606",2.99,22.2,0.28,0
90,Papua New Guinea,10762817,0.020,186315,24,452860,−284,3.03,22.8,0.13,0
91,Sweden,10656633,0.000,49634,26,410340,47079,1.44,40.3,0.87,0
92,Czech Republic (Czechia),10609239,-0.012,"−126,620",137,77240,"−112,188",1.47,43.8,0.75,0
93,Portugal,10411834,-0.001,"−13,458",114,91590,16472,1.52,46.9,0.67,0
94,Azerbaijan,10397713,0.010,61136,126,82658,8731,1.67,33.6,0.59,0
95,Greece,9938844,-0.011,"−108,973",77,128900,16636,1.34,46.8,0.9,0
96,Togo,9721608,0.020,206372,179,54390,"−15,010",4.07,19.1,0.44,0
97,Hungary,9632287,-0.005,"−43,848",106,90530,"−16,331",1.5,43.9,0.72,0
98,Israel,9517181,0.010,130160,440,21640,11466,2.75,29.2,0.91,0
99,Austria,9113574,-0.001,"−7,239",111,82409,11254,1.33,43.6,0.59,0
100,Belarus,8997603,-0.007,"−59,093",44,202910,"−3,020",1.23,41.3,0.84,0
101,Switzerland,8967407,0.010,45426,227,39516,37253,1.44,42.9,0.74,0
102,Sierra Leone,8819794,0.020,177772,122,72180,"−11,309",3.61,19.7,0.46,0
103,Laos,7873046,0.010,103227,34,230800,"−10,645",2.36,24.9,0.38,0
104,Turkmenistan,7618847,0.020,124349,16,469930,13268,2.63,26.9,0.47,0
105,Libya,7458555,0.010,77532,4,1759540,−172,2.25,27.7,0.78,0
106,Hong Kong,7396076,-0.003,"−18,833",7044,1050,17863,0.73,47.4,0,0
107,Kyrgyzstan,7295034,0.020,109025,38,191800,1815,2.75,25.4,0.35,0
108,Paraguay,7013078,0.010,83925,18,397300,"−12,423",2.4,27,0.68,0
109,Nicaragua,7007502,0.010,91362,58,120340,"−8,371",2.18,26,0.58,0
110,Bulgaria,6714560,-0.006,"−43,129",62,108560,"−2,961",1.74,44.8,0.77,0
111,Serbia,6689039,-0.007,"−47,177",76,87460,"−13,086",1.5,44.4,0.74,0
112,Congo,6484437,0.020,151476,19,341500,"−2,999",4.05,18.6,0.7,0
113,El Salvador,6365503,0.000,27310,307,20720,"−23,934",1.75,27.9,0.8,0
114,Denmark,6002507,0.000,25095,141,42430,22103,1.52,41.3,0.87,0
115,Singapore,5870750,0.010,38363,8387,700,16892,0.96,36.2,0,0
116,Lebanon,5849421,0.010,43459,572,10230,"−10,230",2.21,28.8,0.86,0
117,Liberia,5731206,0.020,118389,60,96320,"−9,870",3.79,18.8,0.55,0
118,Finland,5623329,0.000,6019,19,303890,18246,1.3,43.2,0.87,0
119,Norway,5623071,0.010,46411,15,365268,29798,1.42,39.8,0.86,0
120,State of Palestine,5589623,0.020,94180,929,6020,"−23,156",3.19,20.1,0.84,0
121,Central African Republic,5513282,0.030,182592,9,622980,"−14,693",5.81,14.5,0.45,0
122,Oman,5494691,0.040,213153,18,309500,113734,2.48,29.7,0.91,0
123,Slovakia,5474881,-0.006,"−31,879",114,48088,"−31,377",1.57,42.3,0.54,0
124,Mauritania,5315065,0.030,145670,5,1030700,"−5,044",4.56,17.4,0.6,0
125,Ireland,5308039,0.010,53022,77,68890,35417,1.6,39,0.62,0
126,New Zealand,5251899,0.010,37955,20,263310,17403,1.65,37.7,0.84,0
127,Costa Rica,5152950,0.000,23040,101,51060,1000,1.31,35.2,0.85,0
128,Kuwait,5026078,0.020,91571,282,17820,42775,1.5,34.8,0.92,0
129,Panama,4571189,0.010,55612,61,74340,6151,2.09,30.3,0.71,0
130,Croatia,3848160,-0.750,"−27,165",69,55960,"−3,481",1.47,45.3,0.62,0
131,Georgia,3806671,0.000,−999,55,69490,1283,1.79,37.3,0.62,0
132,Eritrea,3607003,0.020,71400,36,101000,"−6,698",3.61,19.2,0.75,0
133,Mongolia,3517100,0.010,41560,2,1553560,79,2.58,26.9,0.67,0
134,Uruguay,3384688,-0.001,"−1,900",19,175020,"−1,338",1.39,36.4,0,0
135,Puerto Rico,3235289,-0.002,"−6,915",365,8870,5495,0.94,45.8,0,0
136,Bosnia and Herzegovina,3140095,-0.008,"−24,158",62,51000,"−6,994",1.5,45.7,0.56,0
137,Qatar,3115889,0.020,67466,268,11610,36288,1.7,33.5,0.97,0
138,Namibia,3092816,0.020,62685,4,823290,1866,3.17,21.3,0.54,0
139,Moldova,2996106,-0.013,"−38,855",91,32850,"−29,766",1.72,38.6,0.58,0
140,Armenia,2952365,-0.007,"−21,+E136475",104,28470,"−29,013",1.71,36.6,0.64,0
141,Jamaica,2837077,-0.001,"−2,098",262,10830,"−11,053",1.34,32.8,0.6,0
142,Lithuania,2830144,-0.010,"−28,966",45,62674,"−24,618",1.22,42.3,0.68,0
143,Gambia,2822093,0.020,62105,279,10120,"−2,984",3.8,18.6,0.61,0
144,Albania,2771508,-0.007,"−20,257",101,27400,"−24,230",1.33,37.3,0.7,0
145,Gabon,2593130,0.020,54178,10,257670,1116,3.54,21.5,0.84,0
146,Botswana,2562122,0.020,40983,5,566730,"−5,665",2.66,23.4,0.76,0
147,Lesotho,2363325,0.010,25902,78,30360,"−5,192",2.64,21.8,0.33,0
148,Guinea-Bissau,2249515,0.020,48163,80,28120,"−1,373",3.68,19.4,0.46,0
149,Slovenia,2117072,-0.001,"−1,625",105,20140,2711,1.58,44.6,0.56,0
150,Equatorial Guinea,1938431,0.020,45915,69,28050,3812,4.04,20.9,0.64,0
151,Latvia,1853559,-0.010,"−18,312",30,62200,"−7,330",1.35,43.6,0.68,0
152,North Macedonia,1813791,-0.005,"−9,218",72,25220,"−5,645",1.47,41,0.69,0
153,Bahrain,1643332,0.020,36283,2162,760,18128,1.78,33.4,0,0
154,Trinidad and Tobago,1511155,0.000,3373,295,5130,691,1.52,37.7,0.49,0
155,Timor-Leste,1418517,0.010,17879,95,14870,"−2,550",2.56,21.7,0.36,0
156,Cyprus,1370754,0.010,12472,148,9240,7749,1.37,38.6,0.61,0
157,Estonia,1344232,-0.012,"−16,314",32,42390,"−13,350",1.38,42.8,0.67,0
158,Mauritius,1268280,-0.002,"−2,889",625,2030,"−2,784",1.21,37.8,0.42,0
159,Eswatini,1256174,0.010,13352,73,17200,"−5,775",2.68,22.5,0.31,0
160,Djibouti,1184076,0.010,15354,51,23180,−581,2.58,24.9,0.71,0
161,Fiji,933154,0.000,4370,51,18270,"−3,288",2.25,28.1,0.61,0
162,Comoros,882847,0.020,16219,474,1861,"−2,127",3.76,20.6,0.34,0
163,Réunion,882405,0.000,3814,353,2500,"−2,585",2.13,38.1,0,0
164,Solomon Islands,838645,0.020,19447,30,27990,1631,3.46,20.7,0.23,0
165,Guyana,835986,0.010,4899,4,196850,"−5,092",2.37,26.2,0.27,0
166,Bhutan,796682,0.010,5158,21,38117,455,1.44,30.5,0.5,0
167,Macao,722007,0.000,1745,24067,30,−328,0.69,39.6,0.97,0
168,Luxembourg,680453,0.010,7417,263,2590,5237,1.4,39.5,0.87,0
169,Suriname,639850,0.010,5419,4,156000,−967,2.21,28.6,0.62,0
170,Montenegro,632729,-0.009,"−5,750",47,13450,"−9,279",1.79,40,0.69,0
171,Western Sahara,600904,0.020,10398,2,266000,5030,2.15,32.6,0.97,0
172,Malta,545405,0.010,5798,1704,320,5161,1.11,41.1,0.77,0
173,Maldives,529676,0.000,1877,1766,300,"−2,283",1.55,32.7,0.4,0
174,Cabo Verde,527326,0.000,2449,131,4030,"−1,284",1.5,29,0.79,0
175,Brunei,466330,0.010,3609,88,5270,0,1.71,32.7,0.8,0
176,Belize,422924,0.010,5852,19,22810,360,2.01,26.9,0.49,0
177,Bahamas,403033,0.000,1750,40,10010,935,1.36,35.3,0.88,0
178,Iceland,398266,0.010,4870,4,100250,2709,1.5,36.2,0.84,0
179,Guadeloupe,373791,-0.004,"−1,315",221,1690,"−1,587",2.05,47.2,0,0
180,Martinique,340439,-0.008,"−2,756",321,1060,"−2,491",1.97,49.7,0,0
181,Mayotte,337011,0.030,10506,899,375,44,4.5,17.1,0.41,0
182,Vanuatu,335169,0.020,7392,27,12190,−52,3.53,20.3,0.25,0
183,French Guiana,313666,0.020,5144,4,82200,−909,3.29,25,0.95,0
184,New Caledonia,295333,0.010,2694,16,18280,440,1.95,34.5,0.76,0
185,Barbados,282623,0.000,156,657,430,−87,1.71,39.4,0.33,0
186,French Polynesia,282465,0.000,658,77,3660,"−1,199",1.48,36.1,0.66,0
