,AAPL,MSFT,NVDA,GOOGL,AMZN,META,AVGO,ASML,TSM,ADBE,NFLX,AMD,^NDX,QQQ,SPY
2006-01-03,2.2397353649139404,18.672447204589844,0.2920118272304535,10.809965133666992,2.378999948501587,,,19.2598876953125,5.073990821838379,38.52000045776367,0.3721430003643036,32.400001525878906,1679.9300537109375,35.3570671081543,87.4632568359375
2006-01-04,2.246326446533203,18.762880325317383,0.3001871407032013,11.058586120605469,2.362499952316284,,,19.570688247680664,5.114181041717529,38.41999816894531,0.35714301466941833,32.560001373291016,1695.8299560546875,35.72509765625,87.87744903564453
2006-01-05,2.2286484241485596,18.77679443359375,0.3069865107536316,11.207610130310059,2.382499933242798,,,20.003917694091797,5.1995849609375,38.06999969482422,0.3561429977416992,33.68000030517578,1705.2900390625,35.87916564941406,87.93267822265625
2006-01-06,2.28617787361145,18.721139907836914,0.3120288848876953,11.565765380859375,2.3935000896453857,,,20.672592163085938,5.425652503967285,39.0,0.357571005821228,33.779998779296875,1734.989990234375,36.52962875366211,88.66443634033203
2006-01-09,2.2786858081817627,18.686355590820312,0.3207390010356903,11.596564292907715,2.3540000915527344,,,21.19059181213379,5.490962505340576,38.380001068115234,0.35714301466941833,33.25,1741.9000244140625,36.67511749267578,88.89224243164062
2006-01-10,2.42280912399292,18.783754348754883,0.32081592082977295,11.667598724365234,2.2825000286102295,,,20.955135345458984,5.330200672149658,38.61000061035156,0.36328598856925964,34.93000030517578,1744.02001953125,36.700809478759766,88.98196411132812
2006-01-11,2.51389741897583,18.98550796508789,0.33242860436439514,11.714045524597168,2.246500015258789,,,20.361799240112305,5.4156036376953125,39.33000183105469,0.35499998927116394,36.27000045776367,1758.239990234375,36.98324203491211,89.26497650146484
2006-01-12,2.525580883026123,18.88114356994629,0.32769230008125305,11.515344619750977,2.2179999351501465,,,19.768465042114258,5.244797229766846,39.47999954223633,0.3674289882183075,35.349998474121094,1747.3499755859375,36.80351257324219,88.91292572021484
2006-01-13,2.5645337104797363,18.915929794311523,0.3247886300086975,11.580418586730957,2.2200000286102295,,,19.824970245361328,5.2196784019470215,38.84000015258789,0.3651430010795593,34.130001068115234,1746.780029296875,36.786407470703125,88.83010864257812
2006-01-16,2.5645337104797363,18.915929794311523,0.3247886300086975,11.580418586730957,2.2200000286102295,,,19.824970245361328,5.2196784019470215,38.84000015258789,0.3651430010795593,34.130001068115234,1746.780029296875,36.786407470703125,88.83010864257812
2006-01-17,2.5381669998168945,18.77679443359375,0.32455936074256897,11.601780891418457,2.200000047683716,,,19.43882942199707,5.079014778137207,39.439998626708984,0.36800000071525574,32.86000061035156,1736.3900146484375,36.5467529296875,88.58849334716797
2006-01-18,2.4716477394104004,18.66548728942871,0.32624003291130066,11.05039119720459,2.2160000801086426,,,20.145187377929688,4.9986348152160645,39.72999954223633,0.35499998927116394,34.150001525878906,1716.6199951171875,36.12734603881836,88.23641967773438
2006-01-19,2.368276596069336,18.797657012939453,0.34434744715690613,10.840265274047852,2.2225000858306885,,,20.380632400512695,5.129251480102539,40.459999084472656,0.3631429970264435,37.130001068115234,1729.9200439453125,36.39267349243164,88.57470703125
2006-01-20,2.2798850536346436,18.373287200927734,0.3347206115722656,9.921531677246094,2.196000099182129,,,19.66486930847168,4.958444595336914,38.43000030517578,0.3352859914302826,35.70000076293945,1676.3800048828125,35.30570983886719,86.95931243896484
2006-01-23,2.3272275924682617,18.3315486907959,0.33663126826286316,10.617972373962402,2.186500072479248,,,20.248783111572266,4.933324813842773,37.790000915527344,0.33257099986076355,35.470001220703125,1676.300048828125,35.31426239013672,87.26997375488281
2006-01-24,2.2783865928649902,18.282848358154297,0.33831197023391724,11.003695487976074,2.2009999752044678,,,20.682016372680664,5.043846607208252,39.130001068115234,0.35342898964881897,36.77000045776367,1686.219970703125,35.46830749511719,87.35969543457031
2006-01-25,2.223255157470703,18.366334915161133,0.3353322148323059,10.754578590393066,2.180000066757202,,,21.256515502929688,4.933324813842773,38.959999084472656,0.40842899680137634,38.380001068115234,1677.0,35.31426239013672,87.43565368652344
2006-01-26,2.1672236919403076,18.435903549194336,0.34679269790649414,10.786120414733887,2.2339999675750732,,,21.84984588623047,5.264891624450684,38.77000045776367,0.4142859876155853,40.40999984741211,1690.489990234375,35.562477111816406,87.91888427734375
2006-01-27,2.158235549926758,19.333343505859375,0.353363573551178,10.766746520996094,2.260999917984009,,,22.198314666748047,5.435700416564941,40.08000183105469,0.3974289894104004,39.849998474121094,1711.1099853515625,36.0417594909668,88.73343658447266
2006-01-30,2.247225284576416,19.479448318481445,0.3493899703025818,10.601081848144531,2.247999906539917,,,21.68975067138672,5.445748805999756,39.349998474121094,0.39428600668907166,41.400001525878906,1713.449951171875,36.110252380371094,88.66443634033203
2006-01-31,2.262507200241089,19.583797454833984,0.34350767731666565,10.746132850646973,2.240999937057495,,,21.28476905822754,5.425652503967285,39.72999954223633,0.39357098937034607,41.79999923706055,1710.75,35.94761276245117,88.0155258178711
