Model,FinalEq,Total%,CAGR%,Vol%,Sharpe,Sortino,MaxDD%,Calmar,AvgExp%,TimeInMkt%,TurnoverAnn,CVaR5%
EQW_TECH,12996054.3,12896.05,27.41,25.95,1.064,1.733,-52.76,0.519,100.0,100.0,0.0,-3.825
MOM_12_1_TOPK,36535252.86,36435.25,34.13,33.37,1.047,1.772,-50.82,0.672,100.0,100.0,0.0,-4.726
