Model,FinalEq,Total%,CAGR%,Vol%,Sharpe,Sortino,MaxDD%,Calmar,AvgExp%,TimeInMkt%,TurnoverAnn,CVaR5%
SENTINEL_12,5850178.86,5750.18,22.44,21.0,1.069,1.792,-30.52,0.735,51.6,76.0,10.03,-3.079
QQQ,1706787.78,1606.79,15.16,21.94,0.754,1.204,-53.4,0.284,100.0,100.0,0.0,-3.29
