Model,FinalEq,Total%,CAGR%,Vol%,Sharpe,Sortino,MaxDD%,Calmar,AvgExp%,TimeInMkt%,TurnoverAnn,CVaR5%
SENTINEL_12_FINALTEST,372552.48,272.55,24.0,24.78,0.992,1.603,-30.52,0.786,56.7,72.2,10.89,-3.655
QQQ_FINALTEST,294153.63,194.15,19.3,25.15,0.828,1.328,-35.12,0.549,100.0,100.0,0.0,-3.682
