Episode,Days,Total%,WorstDay%,BestDay%,CAGR%,Sharpe,MaxDD%,Calmar,AvgExposure%,TimeInMkt%
GFC_2008,377,-13.47,-3.34,1.8,-9.22,-1.452,-14.24,-0.647,10.0,21.0
EURO_2011,127,-13.89,-3.37,2.81,-25.68,-1.921,-19.96,-1.287,40.4,98.4
Q4_2018,63,-25.5,-6.6,4.65,-69.19,-4.474,-26.02,-2.659,44.0,87.3
COVID_2020,94,-8.52,-6.65,4.47,-21.24,-1.023,-16.98,-1.251,13.2,21.3
RATES_2022,251,-13.64,-3.21,2.98,-13.69,-1.764,-14.76,-0.928,10.5,26.7
