Model,FinalEq,Total%,CAGR%,Vol%,Sharpe,Sortino,MaxDD%,Calmar,AvgExp%,TimeInMkt%,TurnoverAnn,CVaR5%
SENTINEL_12A_FINALTEST,595243.31,495.24,33.87,27.7,1.192,1.975,-35.21,0.962,64.5,79.2,13.22,-4.008
QQQ_FINALTEST,294153.63,194.15,19.3,25.15,0.828,1.328,-35.12,0.549,100.0,100.0,0.0,-3.682
EQW_TECH_FINALTEST(net),535730.77,435.73,31.58,31.1,1.039,1.708,-48.34,0.653,100.0,100.0,0.0,-4.443
MOM_12_1_TOPK_FINALTEST(net),835957.5,735.96,41.52,39.35,1.08,1.851,-42.05,0.987,100.0,100.0,5.29,-5.369
