Episode,CAGR%,Sharpe,MaxDD%,Calmar,AvgExposure%,TimeInMkt%
GFC_2008,-9.02,-1.407,-13.86,-0.651,9.4,20.5
EURO_2011,-17.14,-1.36,-15.73,-1.09,39.7,100.0
Q4_2018,-59.68,-4.072,-21.89,-2.726,38.9,84.8
COVID_2020,-20.07,-1.175,-15.03,-1.335,14.0,23.7
RATES_2022,-10.72,-1.443,-13.72,-0.781,10.1,25.8
