Episode,CAGR%,Sharpe,MaxDD%,Calmar,AvgExposure%,TimeInMkt%
GFC_2008,-7.49,-1.2,-11.91,-0.629,12.6,99.2
EURO_2011,-6.94,-0.713,-8.81,-0.788,30.6,100.0
Q4_2018,-36.29,-2.714,-13.42,-2.704,32.7,100.0
COVID_2020,-15.26,-1.295,-11.1,-1.375,11.4,95.9
RATES_2022,-7.35,-1.499,-8.18,-0.898,9.1,100.0
