top_k,weight_cap,vol_target,score_val,STOP_hits,VAL_CAGR%,VAL_Sharpe,VAL_MaxDD%,VAL_Calmar,VAL_TurnoverAnn,VAL_ExcessCAGR_vsQQQ%,FINALTEST_CAGR%,FINALTEST_Sharpe,FINALTEST_MaxDD%,FINALTEST_Calmar,FINALTEST_TurnoverAnn,FINALTEST_ExcessCAGR_vsQQQ%,FULL_CAGR%,FULL_Sharpe,FULL_MaxDD%,FULL_Calmar
3,0.65,0.3,0.3009771375039336,308,30.731291854819666,1.396922452220075,-27.65779324681722,1.1111259521168102,12.19909645286768,14.07345557362547,23.99563143069563,0.9923608276413726,-30.51628841006976,0.786322081776418,10.886987574589055,4.699592943276643,22.44461689706545,1.068952278221364,-30.51628841006979,0.7354962895703645
3,0.45,0.3,0.30041293249072765,308,30.67753401782829,1.399328435040428,-27.713856600836873,1.1069384697942735,11.943264498806803,14.019697736634097,24.036763571495868,0.9960353180389934,-30.907854707012305,0.7776911014805068,10.565735815135245,4.74072508407688,22.412296889211603,1.0730771301271045,-30.907854707012426,0.7251327244050575
3,0.55,0.3,0.29257705778679793,308,30.359863317335755,1.3862370220924634,-27.657796867660988,1.097696373380852,12.145079956602935,13.702027036141562,24.062999342796367,0.9949584720831727,-30.591397322362614,0.7865936651807035,10.773535770215188,4.766960855377378,22.39858766165126,1.0687363716069622,-30.591397322362667,0.7321858307295309
3,0.45,0.26,0.2686550166696643,308,28.4191861490938,1.3842862186316867,-26.53900595577371,1.0708459162507196,11.525358190441208,11.761349867899607,23.137590544051,1.0379743982216914,-27.31143537754971,0.8471759255491327,9.689430194964935,3.841552056632014,21.200026103563463,1.0843374731256707,-27.31143537754962,0.7762325857464885
3,0.65,0.26,0.2685216870628655,308,28.49836126462304,1.3817286013827683,-26.660358639926606,1.0689414065849752,11.765065127948914,11.840524983428846,22.92544909494625,1.0292413226422084,-27.019299050389765,0.8484842279657709,9.96174835799114,3.6294106075272614,21.161099577958133,1.0788839992413422,-27.019299050389666,0.7831846243862107
3,0.55,0.26,0.2603563484450796,308,28.133809031243363,1.37185378942639,-26.660362310693554,1.0552673179523449,11.709437503674843,11.475972750049168,23.07141335907592,1.034555259770564,-27.06520170067124,0.8524382568522936,9.860673977509743,3.7753748716569335,21.147410398391298,1.0795898196394291,-27.065201700671192,0.7813505560487606
3,0.45,0.22,0.25137082281443424,308,26.030994289948396,1.3902752817549748,-23.56068101297344,1.104848975953399,10.798319661498944,9.373158008754201,19.674856389618988,1.0163938839829028,-24.00268695822939,0.8196939127631045,8.50795674932938,0.37881790220000156,18.857760075388196,1.0730253017133566,-25.443995668662257,0.7411477474276611
3,0.65,0.22,0.24914560008380873,308,26.041951141982377,1.3853697358785075,-23.72930255209772,1.0974596107410757,11.04935653359064,9.384114860788184,19.406109921070993,1.0053348437533505,-23.773263488967167,0.8162997869466718,8.73042621744456,0.11007143365200367,18.78677072702384,1.0660483218422736,-25.493617466901085,0.736920554778666
3,0.55,0.22,0.24190619228918625,308,25.740030724604026,1.3761231421902194,-23.729306369568626,1.084735909415963,10.991518079307474,9.08219444340983,19.55142542852588,1.0110937436543137,-23.808916116412636,0.8211808270872162,8.649232807282,0.2553869411068943,18.783537540280882,1.0668031308502643,-25.489755759568354,0.7369053559185207
5,0.45,0.3,0.12077226630258767,550,21.083401450919226,1.217393877994524,-24.740923178406447,0.852167128077118,12.367531569224582,4.425565169725032,19.698078451856425,0.9134806589751896,-23.820516766693455,0.8269374944627086,12.194375434909256,0.4020399644374395,15.124755035656001,0.8709426834980376,-24.740923178406483,0.6113254112060243
5,0.55,0.3,0.11996174172618068,550,21.06011197530946,1.2161485850629719,-24.76518846145054,0.8503917508276427,12.37471525935704,4.402275694115265,19.70072320418479,0.9134386268363105,-23.680247907581954,0.8319475066761021,12.205267375176245,0.40468471676580187,15.129386467839435,0.8709213446358409,-24.765188461450528,0.6109134397014513
5,0.65,0.3,0.11996174172618068,550,21.06011197530946,1.2161485850629719,-24.76518846145054,0.8503917508276427,12.37471525935704,4.402275694115265,19.70072320418479,0.9134386268363107,-23.680247907581908,0.8319475066761036,12.205267375176245,0.40468471676580187,15.121093674329632,0.8705244900440915,-24.765188461450606,0.6105785828307775
5,0.45,0.26,0.11689625038421263,550,20.927607006305628,1.2118405051519479,-24.738032361514527,0.8459689396664846,12.367682189282915,4.2697707251114325,19.84920780145767,0.9492205636605142,-21.417767738221794,0.9267636125325563,11.77193811891644,0.5531693140386817,15.118726914446757,0.8855854365229378,-24.73803236151464,0.6111531706930421
5,0.55,0.26,0.11610125370565785,550,20.904846318637894,1.2106137631032592,-24.76200059078736,0.8442309110684494,12.374890651056864,4.247010037443699,19.854934197204678,0.9494874972886754,-21.39814844103173,0.9278809450228935,11.781501070139656,0.5588957097856895,15.124374966619758,0.8856921848181846,-24.762000590787338,0.6107897021958217
5,0.65,0.26,0.11610125370565774,550,20.904846318637894,1.2106137631032592,-24.76200059078738,0.8442309110684486,12.374890651056864,4.247010037443699,19.854934197204678,0.9494874972886755,-21.398148441031772,0.9278809450228916,11.781501070139653,0.5588957097856895,15.116082534089426,0.8852868348435883,-24.76200059078737,0.6104548167934912
4,0.65,0.3,0.10950685487213506,420,22.96345683613785,1.1864346712548466,-32.64980338306502,0.7033260374256545,12.303004173756635,6.305620554943658,22.877707887576214,0.9803958767407384,-24.969385900837114,0.9162302981111452,11.78666705330218,3.581669400157228,17.987356877402316,0.9362549939222148,-32.649803383064956,0.5509177702041579
4,0.45,0.3,0.10823727480998586,420,22.885800803322944,1.1851494380753589,-32.592438708695596,0.7021812944981334,12.205291981624761,6.227964522128748,22.967387701657383,0.9828897688397428,-24.90763171840523,0.9221024287381716,11.717285445873356,3.671349214238395,17.90598740823559,0.9347738452969129,-32.5924387086956,0.5493908439400794
4,0.55,0.3,0.10674755811839187,420,22.84953675901049,1.1820477776126266,-32.64980338306499,0.6998368869462239,12.284448354835039,6.191700477816298,22.87309447307706,0.9802027663561715,-24.992702159717684,0.9151909356141198,11.781529993231306,3.577055985658073,17.953819898966515,0.9350263956337942,-32.649803383064956,0.549890597757135
5,0.45,0.22,0.08939197788029124,550,19.58975450081091,1.1795178231215508,-24.314909025871746,0.8056684267239849,12.112590455452802,2.9319182196167137,17.980731500197965,0.9517114941703266,-20.55818091680921,0.874626581649361,10.742217039223835,-1.315306987221021,14.16776919424494,0.883336076645122,-24.3149090258717,0.5826782727901659
5,0.55,0.22,0.08862292089374071,550,19.567910712672877,1.1782999595110424,-24.33736783334899,0.8040274053736977,12.1196284082488,2.910074431478682,17.976589362997466,0.9515656174530717,-20.52191530446892,0.8759703515140628,10.753300254564797,-1.3194491244215234,14.175605839397921,0.8836498471436434,-24.337367833349035,0.5824625709923058
5,0.65,0.22,0.0886229208937403,550,19.567910712672855,1.178299959511042,-24.337367833348978,0.8040274053736971,12.119628408248799,2.9100744314786597,17.976589362997487,0.9515656174530716,-20.521915304468862,0.8759703515140662,10.75330025456479,-1.3194491244215012,14.167375478844967,0.8832172620567068,-24.33736783334899,0.5821243930673434
4,0.65,0.26,0.0726682702737327,420,21.118906847269358,1.145709808206187,-32.56174857043288,0.648580244441971,12.077824737663196,4.461070566075165,22.555927018324716,1.020151482143444,-22.61042592159136,0.9975896560526708,11.166389813978597,3.25988853090573,17.2519946921597,0.9403250045341882,-32.56174857043299,0.5298239636867969
4,0.45,0.26,0.07144336773007097,420,21.05641401799683,1.143770723125624,-32.503884952114795,0.6478122245699999,12.001896206426919,4.3985777368026335,22.64458261198843,1.0228566493474944,-22.750134000008526,0.9953604058762882,11.096712903483631,3.3485441245694414,17.201323148673843,0.9390274610575089,-32.50388495211478,0.529208221540751
4,0.55,0.26,0.07036884821056719,420,21.02625517352539,1.1419254356441229,-32.561748570432904,0.6457348298739058,12.061487570597231,4.368418892331194,22.552336885720557,1.0199864680737836,-22.60412212710614,0.9977090354982872,11.161240878132903,3.2562983983015714,17.230928932123234,0.9395132477937409,-32.561748570432854,0.5291770156277629
4,0.65,0.22,0.03387155691754887,420,18.94970199764867,1.1068201634873078,-31.616285643987506,0.5993652199069232,11.629505883382121,2.2918657164544776,20.100439885663057,1.0275232679985615,-20.747128075001907,0.9688299900110974,9.953493057576877,0.8044013982440701,15.618985243947915,0.9315000681492731,-31.61628564398753,0.49401708410102807
4,0.45,0.22,0.032858593792366164,420,18.892530788057016,1.1054981685944252,-31.559777378831587,0.5986268711999533,11.552372356602264,2.234694506862822,20.182940092513512,1.0305767372951753,-20.881342656463488,0.9665537520532094,9.88723745322569,0.8869016050945255,15.570464475026547,0.9297924237186498,-31.559777378831434,0.4933642049538144
4,0.55,0.22,0.03175464465121841,420,18.86845455595372,1.1031442903978785,-31.61628564398753,0.5967954227267659,11.614946791179495,2.2106182747595238,20.09574973672672,1.0273087312878533,-20.744088868596343,0.9687458371405688,9.948356598906162,0.799711249307733,15.599869955222733,0.930635861980689,-31.61628564398744,0.49341248149399247
