Model,FinalEq,Total%,CAGR%,Vol%,Sharpe,Sortino,MaxDD%,Calmar,AvgExp%,TimeInMkt%,TurnoverAnn,CVaR5%
SENTINEL_11_1,4214931.01,4114.93,19.65,18.88,1.045,1.74,-28.16,0.698,55.9,81.5,11.5,-2.778
QQQ,1706787.78,1606.79,14.58,21.54,0.74,1.176,-53.4,0.273,100.0,100.0,0.0,-3.253
